0513 FLIGHT NUMBER                                  
0515 TIME FROM MIDNIGHT             secs            
0516 INDICATED AIR SPEED            m s-1           
0517 TRUE AIR SPEED                 knots           
0518 MACH NO                        -               
0519 DEICED INDICATED AIR TEMP      deg C           
0520 DEICED TRUE AIR TEMP           K               
0521 DEICED TRUE AIR TEMP           deg C           
0522 NONDEICED INDICATED AIR TEMP   deg C           
0523 NONDEICED TRUE AIR TEMP        K               
0524 NONDEICED TRUE AIR TEMP        deg C           
0525 EQUIVALENT POTENTIAL TEMP      K               
0526 REFRACTIVE INDEX               Nunits          
0527 POTENTIAL TEMPERATURE          K               
0528 DRY AIR DENSITY                kg m-3          
0529 DEW POINT                      deg C           
0530 VAPOUR PRESSURE                mb              
0531 MOIST AIR DENSITY              kg m-3          
0532 SPECIFIC HUMIDITY              g kg-1          
0533 MASS MIXING RATIO              g kg-1          
0534 HUMIDITY MIXING RATIO          g m-3           
0535 J/W LIQUID WATER CONTENT       g m-3           
0536 RELATIVE HUMIDITY              %               
0537 HEIMAN SURFACE TEMP            deg C           
0538 UPPER PYRANOMETER CLEAR FLUX   W m-2           
0539 UPPER PYRANOMETER RED FLUX     W m-2           
0540 UPPER PYRGEOMETER FLUX         W m-2           
0541 LOWER PYRANOMETER CLEAR FLUX   W m-2           
0542 LOWER PYRANOMETER RED FLUX     W m-2           
0543 LOWER PYRGEOMETER FLUX         W m-2           
0545 CNC COUNTS                     p cm-3          
0546 LIFTING CONDENSATION LEVEL     m               
0547 FWVS HUMIDITY MIXING RATIO     g m-3           
0548 ANGLE OF ATTACK                deg             
0549 ANGLE OF SIDESLIP              deg             
0551 CABIN TEMPERATURE              deg C           
0552 SOLAR ZENITH ANGLE             deg             
0553 SOLAR AZIMUTH ANGLE            deg             
0554 PSAP LIN ABS COEFF             m-1             
0555 PSAP LOG ABS COEFF             m-1             
0556 PSAP TRANSMITTANCE             ratio           
0557 INS VERTICAL VELOCITY          m s-1 (+ve up)  
0558 INS VELOCITY NORTH             m s-1 (+ve N)   
0559 INS VELOCITY EAST              m s-1 (+ve E)   
0560 INS ROLL                       deg   (+ve stbd)
0561 INS PITCH                      deg   (+ve up)  
0562 INS HEADING                    degT            
0563 INS GROUND SPEED               m s-1           
0564 INS DRIFT ANGLE                deg   (+ve stbd)
0565 INS PITCH RATE                 deg s-1         
0566 INS YAW RATE                   deg s-1         
0567 NORTHWARDS WIND COMPONENT      m s-1           
0568 EASTWARDS WIND COMPONENT       m s-1           
0569 VERTICAL WIND COMPONENT        m s-1           
0570 INS WIND SPEED                 m s-1           
0571 INS WIND ANGLE                 deg             
0572 TOTAL WATER CONTENT            g kg            
0573 DEW POINT (FLUORESCENCE WVS)   deg C           
0574 OZONE MIXING RATIO             ppb             
0575 RADAR HEIGHT                   ft              
0576 STATIC PRESSURE                mb              
0577 PITOT STATIC PRESSURE          mb              
0578 PRESSURE HEIGHT                m               
0579 PRESSURE HEIGHT                Kft             
0580 SOLAR ALBEDO                   -               
0581 NEAR INFRA-RED ALBEDO          -               
0582 VISIBLE ALBEDO                 -               
0583 LOWER VISIBLE FLUX             W m-2           
0584 UPPER VISIBLE FLUX             W m-2           
0585 NET INFRA-RED FLUX             W m-2           
0586 UPPER NEAR INFRA-RED FRACTIO   -               
0587 LOWER NEAR INFRA-RED FRACTIO   -               
0588 CO MIXING RATIO                pbb             
0589 REFRACTIVITY                   Munits          
0590 CORRECTED SURFACE TEMP         deg C           
0591 DEW POINT (TOTAL WATER)        deg C           
0592 HCHO MIXING RATIO              ppb             
0593 TURB PROBE PITOT-STATIC        mb              
0594 TURB PROBE ATTACK DIFF         mb              
0595 TURB PROBE SIDESLIP DIFF       mb              
0596 TURB PROBE ATTACK CHECK        mb              
0597 TURB PROBE SIDESLIP CHECK      mb              
0598 S9 STATIC PRESSURE             mb              
0599 TURB PROBE DRY TAS             m s-1           
0600 TURB PROBE WET TAS             m s-1           
0601 TURB PROBE COR PITOT-STATIC    mb              
0605 INU LATITUDE                   deg (+ve N)     
0606 INU LONGITUDE                  deg (+ve E)     
0607 GPS LATITUDE                   deg (+ve N)     
0608 GPS LONGITUDE                  deg (+ve E)     
0609 GPS ALTITUDE                   m               
0610 10 M WIND SPEED                m s-1           
0611 TECO SO2                       ppb             
0612 4 PI JNO2                      s-1             
0613 H2O2 MIXING RATIO              ppb             
0614 ORGANIC H2O2 MR                ppb             
