field,type,max_chars,description
$AERACK01,text,8,"this is the identifier for the start of the AERACK01 UDP packet"
packet_length,unsigned_int,3,"the length of the packet (not including all characters up-to the comma which follows this number)"
utc_time,unsigned_int,10,"the valid time for this packet (usually 1 second behind actual time)"
ptp_sync,boolean,1,"indication of whether the CRIO is successfully synchronised to PTP time ( 1 = synced, 0 = not-synced )"
crio_temp,unsigned_int,3,"the internal hardware temperature of the CRIO"
flight_num,text,5,"indicates the flight number for this packet ( an ""empty"" string here indicates that the CRIO hasn't been assigned a flight number )"
crio_fpga_run,boolean,1,"indicates whether the FPGA code is running ( a value toggling e.g. 1-0-1-0…etc shows running code, fixed value = non running )"
crio_rtc_run,boolean,1,"indicates whether the realtime code is running ( a value toggling e.g. 1-0-1-0…etc shows running code, fixed value = non running )"
crio_status,boolean,1,"- currently unused but for future use (boolean, therefore 0,1 )"
crio_UDP_num,unsigned_int,6,"this number starts @ zero and increments with each UDP packet - used for verification of packet stream"
crio_aux_out1,text,6,"- currently unused but for future use ( text, max string size = 6 characters )"
crio_aux_out2,text,6,"- currently unused but for future use ( text, max string size = 6 characters )"
crio_aux_out3,text,6,"- currently unused but for future use ( text, max string size = 6 characters )"
filter_1_flow,signed_int,6,"the raw reading (in counts) taken from the filter 1 flow transducer"
filter_1_pressure,signed_int,6,"the raw reading (in counts) taken from the filter 1 pressure transducer"
filter_2_flow,signed_int,6,"the raw reading (in counts) taken from the filter 2 flow transducer"
filter_2_pressure,signed_int,6,"the raw reading (in counts) taken from the filter 2 pressure transducer"
psap_flow,signed_int,6,"the raw reading (in counts) taken from the psap flow transducer"
psap_lin,signed_int,6,"the raw reading (in counts) taken from the psap linear transducer"
psap_log,signed_int,6,"the raw reading (in counts) taken from the psap logarithmic transducer"
psap_transmission,signed_int,6,"the raw reading (in counts) taken from the psap transmission"
neph_total_blue,signed_int,6,"the raw reading (in counts) taken from the nephelometer total blue output"
neph_total_green,signed_int,6,"the raw reading (in counts) taken from the nephelometer total green output"
neph_total_red,signed_int,6,"the raw reading (in counts) taken from the nephelometer total red output"
neph_pressure,signed_int,6,"the raw reading (in counts) taken from the nephelometer pressure transducer"
neph_temp,signed_int,4,"the raw reading (in counts) taken from the nephelometer temperature transducer"
neph_backscatter_blue,signed_int,6,"the raw reading (in counts) taken from the nephelometer backscatter blue output"
neph_backscatter_green,signed_int,6,"the raw reading (in counts) taken from the nephelometer total backscatter green output"
neph_backscatter_red,signed_int,6,"the raw reading (in counts) taken from the nephelometer total backscatter red output"
neph_humidity,signed_int,4,"the raw reading (in counts) taken from the nephelometer humidity transducer"
neph_status,signed_int,2,"the raw reading (in counts) taken from the nephelometer status output"
neph_padd1,signed_int,1,"padding cell 1 (always has value 0)"
neph_padd2,signed_int,1,"padding cell 2 (always has value 0)"
buck_mirr_temp,single_float,6,"the text string reading to represent the buck mirror temperature"
buck_status,boolean,1,"the text string reading to represent the buck status output"
buck_pressure,single_float,7,"the text string reading to represent the buck pressure transducer"
buck_coldfinger_temp,single_float,6,"the text string reading to represent the buck coldfinger temperature"
buck_balance,single_float,2,"the text string reading to represent the buck balance output"
buck_mirr_flag,boolean,1,"the text string reading to represent the buck mirror flag"
buck_board_temp,single_float,5,"the text string reading to represent the buck board temperature reading"
