field,type,max_chars,description
$GINDAT01,text,8,"this is the identifier for the start of the AERACK01 UDP packet"
packet_length,>unsigned_int,3,"the length of the packet (not including all characters up-to the comma which follows this number)"
utc_time,>unsigned_int,10,"the valid time for this packet (usually 1 second behind actual time)"
ptp_sync,boolean,1,"indication of whether the CRIO is successfully synchronised to PTP time ( 1 = synced, 0 = not-synced )"
crio_temp,>unsigned_int,3,"the internal hardware temperature of the CRIO"
flight_num,text,5,"indicates the flight number for this packet ( an ""empty"" string here indicates that the CRIO hasn't been assigned a flight number )"
crio_fpga_run,boolean,1,"indicates whether the FPGA code is running ( a value toggling e.g. 1-0-1-0…etc shows running code, fixed value = non running )"
crio_rtc_run,boolean,1,"indicates whether the realtime code is running ( a value toggling e.g. 1-0-1-0…etc shows running code, fixed value = non running )"
crio_status,boolean,1,"- currently unused but for future use (boolean, therefore 0,1 )"
crio_UDP_num,>unsigned_int,6,"this number starts @ zero and increments with each UDP packet - used for verification of packet stream"
crio_gin_conn,text,7,"- indicates if a GIN connection is made, NO_DATA or GINDATA"
crio_aux_out2,text,6,"- currently unused but for future use ( text, max string size = 6 characters )"
crio_aux_out3,text,6,"- currently unused but for future use ( text, max string size = 6 characters )"
velocity_north_gin,>single_float,10,"the serial data collected from the GIN representing the velocity north (ms-1)"
velocity_east_gin,>single_float,10,"the serial data collected from the GIN representing the velocity east (ms-1)"
velocity_down_gin,>single_float,10,"the serial data collected from the GIN representing the velocity down (ms-1)"
track_gin,>single_float,10,"the serial data collected from the GIN representing the aircraft track (deg)"
speed_gin,>single_float,10,"the serial data collected from the GIN representing the aircraft speed (ms-1)"
rate_about_long_gin,>single_float,10,"the serial data collected from the GIN representing the rate about longitudinal axis (degs-1)"
rate_about_trans_gin,>single_float,10,"the serial data collected from the GIN representing the rate about transverse axis (degs-1)"
rate_about_down_gin,>single_float,10,"the serial data collected from the GIN representing the rate about down axis (degs-1)"
long_accel_gin,>single_float,10,"the serial data collected from the GIN representing the longitudinal acceleration (ms-2)"
trans_accel_gin,>single_float,10,"the serial data collected from the GIN representing the transverse acceleration (ms-2)"
down_accel_gin,>single_float,10,"the serial data collected from the GIN representing the down acceleration (ms-2)"
time_utc_gin,>double_float,10,"the serial data collected from the GIN representing the utc timestamp from the GIN itself (secs)"
latitude_gin,>double_float,10,"the serial data collected from the GIN representing the computed aircraft latitude (deg)"
longitude_gin,>double_float,10,"the serial data collected from the GIN representing the computed aircraft longitude (deg)"
altitude_gin,>double_float,10,"the serial data collected from the GIN representing the computed aircraft altitude (m)"
roll_gin,>double_float,10,"the serial data collected from the GIN representing the computed aircraft roll (deg)"
pitch_gin,>double_float,10,"the serial data collected from the GIN representing the computed aircraft pitch (deg)"
heading_gin,>double_float,10,"the serial data collected from the GIN representing the computed aircraft heading (deg)"
