field,num_of_bytes,bytes_per_data_point,representation,description
$AERACK01,9,9,text,"this is the identifier for the start of the AERACK01 TCP packet"
packet_length,4,4,>signed_int,"the length of this packet (not including all bytes up-to and including this number)"
utc_time,4,4,>unsigned_int,"the valid time for this packet (usually 1 second behind actual time)"
ptp_sync,1,1,text,"indication of whether the CRIO is successfully synchronised to PTP time in ASCII( 1 = synced, 0 = not-synced )"
crio_temp,2,2,>unsigned_int,"the internal hardware temperature of the CRIO in integer degrees celcius"
flight_num,4,4,text,"indicates the flight number for this packet ( an ""XXXX"" string here indicates that the CRIO hasn't been assigned a flight number )"
crio_fpga_run,2,2,>signed_int,"indicates whether the FPGA code is running ( a value toggling e.g. 1-0-1-0…etc shows running code, fixed value = non running )"
crio_rtc_run,2,2,>signed_int,"indicates whether the realtime code is running ( a value toggling e.g. 1-0-1-0…etc shows running code, fixed value = non running )"
crio_status,1,1,text,"- currently unused but for future use ( a padding byte of 0x20 is used as a placeholder )"
crio_UDP_num,4,4,>unsigned_int,"this number starts @ zero and increments with each UDP packet - used for verification of packet stream"
crio_mem_used,1,1,>unsigned_int,"a byte to represent the percentage of CRIO hard disk currently used (0 to 100)"
crio_disktype,3,3,text,"- Which disk is being used, INT = internal flash : USB = usb flash drive : --- = NODATA!"
crio_aux_out3,1,1,text,"- currently unused but for future use ( a padding byte of 0x20 is used as a placeholder )"
filter_1_flow,8,8,>double_float,"the raw reading (in volts) taken from the filter 1 flow transducer"
filter_1_pressure,8,8,>double_float,"the raw reading (in volts) taken from the filter 1 pressure transducer"
filter_2_flow,8,8,>double_float,"the raw reading (in volts) taken from the filter 2 flow transducer"
filter_2_pressure,8,8,>double_float,"the raw reading (in volts) taken from the filter 2 pressure transducer"
psap_flow,8,8,>double_float,"the raw reading (in volts) taken from the psap flow transducer"
psap_lin,8,8,>double_float,"the raw reading (in volts) taken from the psap linear transducer"
psap_log,8,8,>double_float,"the raw reading (in volts) taken from the psap logarithmic transducer"
psap_transmission,8,8,>double_float,"the raw reading (in volts) taken from the psap transmission"
neph_total_blue,8,8,>double_float,"the instrument reading (in counts) taken from the nephelometer total blue output"
neph_total_green,8,8,>double_float,"the instrument reading (in counts) taken from the nephelometer total green output"
neph_total_red,8,8,>double_float,"the instrument reading (in counts) taken from the nephelometer total red output"
neph_backscatter_blue,8,8,>double_float,"the instrument reading (in counts) taken from the nephelometer backscatter blue output"
neph_backscatter_green,8,8,>double_float,"the instrument reading (in counts) taken from the nephelometer total backscatter green output"
neph_backscatter_red,8,8,>double_float,"the instrument reading (in counts) taken from the nephelometer total backscatter red output"
neph_pressure,8,8,>double_float,"the instrument reading (in counts) taken from the nephelometer pressure transducer"
neph_temp,8,8,>double_float,"the instrument reading (in counts) taken from the nephelometer temperature transducer"
neph_humidity,8,8,>double_float,"the instrument reading (in counts) taken from the nephelometer humidity transducer"
neph_status,8,8,>double_float,"the instrument reading (in counts) taken from the nephelometer status output"
neph_inst_time,8,8,>double_float,"the instrument time stamp"
neph_mode,8,8,>double_float,"the neph mode of operation"
buck_ppm,8,8,>double,"raw ppm reading for the buck hygrometer"
buck_cham_temp,8,8,>double,"temperature of sample chamber in degrees celcius"
buck_mirr_temp,8,8,>double,"the reading to represent the buck mirror temperature"
buck_dewpoint_flag,1,1,>boolean,"the reading to represent the buck mirror flag"
buck_coldfinger_temp,8,8,>double,"the reading to represent the buck coldfinger temperature"
buck_pressure,8,8,>double,"the reading to represent the buck pressure transducer"
buck_balance,2,2,>signed_int,"the reading to represent the buck balance output"
buck_pwm,2,2,>signed_int,"the reading to represent the buck status output"
buck_mirr_cln_flag,1,1,>boolean,"the reading to represent the buck mirror flag"
buck_board_temp,8,8,>double,"the reading to represent the buck board temperature reading"
buck_input_volts,8,8,>double,"the voltage (in volts) being input to the buck CR2"
