field,num_of_bytes,bytes_per_data_point,representation,description
$TWCDAT01,9,9,text,"this is the identifier for the start of the TWCDAT01 TCP packet"
packet_length,4,4,>signed_int,"the length of this packet (not including all bytes up-to and including this number)"
utc_time,4,4,>unsigned_int,"the valid time for this packet (usually 1 second behind actual time)"
ptp_sync,1,1,text,"indication of whether the CRIO is successfully synchronised to PTP time in ASCII( 1 = synced, 0 = not-synced )"
crio_temp,2,2,>unsigned_int,"the internal hardware temperature of the CRIO in integer degrees celcius"
flight_num,4,4,text,"indicates the flight number for this packet ( an ""XXXX"" string here indicates that the CRIO hasn't been assigned a flight number )"
crio_fpga_run,2,2,>signed_int,"indicates whether the FPGA code is running ( a value toggling e.g. 1-0-1-0…etc shows running code, fixed value = non running )"
crio_rtc_run,2,2,>signed_int,"indicates whether the realtime code is running ( a value toggling e.g. 1-0-1-0…etc shows running code, fixed value = non running )"
crio_UDP_num,4,4,>unsigned_int,"this number starts @ zero and increments with each UDP packet - used for verification of packet stream"
crio_mem_used,1,1,>unsigned_int,"a byte to represent the percentage of CRIO hard disk currently used (0 to 100)"
status,1,1,>unsigned_int,1,"Status word"
twc_detector,256,4,>single_float,"twc detector counts"
twc_nose_temp,4,4,>single_float,"nose temp"
twc_samp_temp,4,4,>single_float,"sample temp"
twc_amb_temp,4,4,>single_float,"twc ambient temp"
twc_srce_temp,4,4,>single_float,"twc source temp"
twc_evap1,4,4,>single_float,"evap 1 current"
twc_evap2,4,4,>single_float,"evap 2 current"
twc_srce_i,4,4,>single_float,"source current"
twc_evap2_on,4,4,>single_float,"evap 2 on signal"
