field,num_of_bytes,bytes_per_data_point,representation,description
$UPPBBR01,9,9,text,"this is the identifier for the start of the UPPBBR01 TCP packet"
packet_length,4,4,>signed_int,"the length of this packet (not including all bytes up-to and including this number)"
utc_time,4,4,>unsigned_int,"the valid time for this packet (usually 1 second behind actual time)"
ptp_sync,1,1,text,"indication of whether the CRIO is successfully synchronised to PTP time in ASCII( 1 = synced, 0 = not-synced )"
crio_temp,2,2,>unsigned_int,"the internal hardware temperature of the CRIO in integer degrees celcius"
flight_num,4,4,text,"indicates the flight number for this packet ( an ""XXXX"" string here indicates that the CRIO hasn't been assigned a flight number )"
crio_fpga_run,2,2,>signed_int,"indicates whether the FPGA code is running ( a value toggling e.g. 1-0-1-0…etc shows running code, fixed value = non running )"
crio_rtc_run,2,2,>signed_int,"indicates whether the realtime code is running ( a value toggling e.g. 1-0-1-0…etc shows running code, fixed value = non running )"
crio_status,1,1,text,"- currently unused but for future use ( a padding byte of 0x20 is used as a placeholder )"
crio_UDP_num,4,4,>unsigned_int,"this number starts @ zero and increments with each UDP packet - used for verification of packet stream"
crio_mem_used,1,1,>unsigned_int,"a byte to represent the percentage of CRIO hard disk currently used (0 to 100)"
crio_disktype,3,3,text,"- Which disk is being used, INT = internal flash : USB = usb flash drive : --- =v NODATA!"
crio_aux_out3,1,1,text,"- currently unused but for future use ( a padding byte of 0x20 is used as a placeholder )"
radiometer_1_sig,2,2,>signed_int,"the reading in raw counts for Radiometer 1 Signal"
radiometer_1_temp,2,2,>signed_int,"the reading in raw counts for Radiometer 1 Temperature"
radiometer_2_sig,2,2,>signed_int,"the reading in raw counts for Radiometer 2 Signal"
radiometer_2_temp,2,2,>signed_int,"the reading in raw counts for Radiometer 2 Temperature"
radiometer_3_sig,2,2,>signed_int,"the reading in raw counts for Radiometer 3 Signal"
radiometer_3_temp,2,2,>signed_int,"the reading in raw counts for Radiometer 3 Temperature"
radiometer_4_sig,2,2,>signed_int,"the reading in raw counts for Radiometer 4 Signal"
radiometer_4_temp,2,2,>signed_int,"the reading in raw counts for Radiometer 4 Temperature"
radiometer_1_zero,2,2,>signed_int,"the reading in raw counts for Radiometer 1 ""Zero"" Signal"
radiometer_2_zero,2,2,>signed_int,"the reading in raw counts for Radiometer 2 ""Zero"" Signal"
radiometer_3_zero,2,2,>signed_int,"the reading in raw counts for Radiometer 3 ""Zero"" Signal"
radiometer_4_zero,2,2,>signed_int,"the reading in raw counts for Radiometer 4 ""Zero"" Signal"
